key,es-ES,en-US
TEXT_CHANNEL_WAS_EXPECTED,Se esperaba un canal de texto,A text channel was expected
EMBED_COMMAND_USED,Comando embed usado,Embed command used
ENTER_A_VALID_IMAGE_URL,Introduce una url de imagen válida,Please enter a valid image url
SEND_EMBED_USING_EVERYONE?,¿Deseas que el embed lo envie usando everyone?,Do you want the embed to send it using everyone?
WITH_EVERYONE,Con everyone,Whit everyone
WITHOUT_EVERYONE,Sin everyone,Without everyone
YOUR_MESSAGE_SENDED,Tu mensaje ha sido enviado,Your message has been sended
YES_IM_SURE,Sí&44 estoy seguro,Yes&44 I'm sure
IVE_REGRETTED,No&44 me he arrepentido,No&44 I've regretted it
NUKE_WARN,Estas a punto de borrar el canal {channel}\n Todo el contenido del canal&44 **⚠ se perdera ⚠**\n¿Deseas continuar?,You are about to delete the channel {channel}\n All the content of this channel&44 **⚠ will be lost ⚠**\nDo you want to continue?
I_CANT_PERMS_TO_NUKE_CHANNEL,No puedo borrar o modificar ese canal actualmente&44 ¡Verifica que siga teniendo permisos!,I can't delete or modify that channel at the moment&44 verify that it still has permissions!
CHANNEL_DELETED,¡Canal eliminado correctamente!,Channel deleted successfulluy!
THIS_MESSAGE_DELETED_10S,Este mensaje será eliminado en 10 segundos,This message are deleted in 10 seconds
CHANNEL_NUKED,He borrado el canal&44 y a la vez lo he vuelto a crear&44 pero... sin mensajes,I have deleted the channel&44 and at the same time I have recreated it&44 but... no messages
CHOOSING_TIME_OUT_RETRY_COMMAND,Se ha agotado el tiempo para elegir&44 utiliza el comando de nuevo,Choosing timed out&44 use the command again
